,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
308,Sweet Magnolias,2020,16+,69,1,0,0,0
309,Medici: Masters of Florence,2016,7+,69,1,0,0,0
310,The Innocent,2021,,69,1,0,0,0
311,Aggretsuko,2018,16+,69,1,0,0,0
312,Jurassic World: Camp Cretaceous,2020,7+,69,1,0,0,0
313,Rake,2010,16+,69,1,1,1,0
314,The Serpent,2021,,69,1,0,0,0
315,The Gift,2019,18+,69,1,1,0,0
316,Violet Evergarden,2018,16+,69,1,0,0,0
317,3Below: Tales of Arcadia,2018,7+,69,1,0,0,0
318,Jeffrey Epstein: Filthy Rich,2020,18+,69,1,0,0,0
319,Dawson's Creek,1998,7+,69,1,1,0,0
320,Private Practice,2007,16+,69,1,1,0,0
321,Beauty and the Beast,2012,7+,69,1,0,0,1
322,Daybreak,2019,18+,69,1,0,0,0
323,Easy,2016,18+,69,1,0,0,0
324,Behind Her Eyes,2021,18+,68,1,0,0,0
325,Collateral,2018,18+,68,1,0,0,0
326,Knightfall,2017,16+,68,1,0,0,0
327,The Confession Killer,2019,16+,68,1,0,0,0
328,Sophie: A Murder In West Cork,2021,18+,68,1,0,0,0
329,Call My Agent!,2015,16+,68,1,0,0,0
330,My Little Pony: Friendship Is Magic,2010,7+,68,1,1,0,0
331,Leah Remini: Scientology and the Aftermath,2016,16+,68,1,1,0,0
332,Containment,2016,16+,68,1,0,0,0
333,Z Nation,2014,16+,68,1,0,0,0
334,Emily in Paris,2020,18+,68,1,0,0,0
335,Victorious,2010,7+,68,1,0,0,0
336,Scream: The TV Series,2015,16+,68,1,0,0,0
337,Akame ga Kill!,2014,18+,68,1,1,0,0
338,Warrior Nun,2020,18+,68,1,0,0,0
339,Bad Blood,2017,18+,68,1,0,0,0
340,Young & Hungry,2014,16+,68,1,0,0,0
341,Caliphate,2020,18+,68,1,0,0,0
342,'Allo 'Allo!,1984,,68,1,0,0,0
343,Good Witch,2015,7+,68,1,0,0,0
344,Gilmore Girls: A Year in the Life,2016,16+,68,1,0,0,0
345,Aquarius,2015,16+,68,1,0,0,0
346,Firefly Lane,2021,18+,67,1,0,0,0
347,White Gold,2017,18+,67,1,0,0,0
348,Hyperdrive,2019,7+,67,1,0,1,0
349,Reply 1988,2015,,67,1,0,0,0
350,Ninjago: Masters of Spinjitzu,2012,all,67,1,0,1,0
351,Spotless,2015,,67,1,0,0,0
352,Devilman: Crybaby,2018,,67,1,0,0,0
353,BEASTARS,2019,18+,67,1,0,0,0
354,Kill la Kill,2013,18+,67,1,0,0,0
355,Down to Earth with Zac Efron,2020,7+,67,1,0,0,0
356,Ancient Aliens,2010,7+,67,1,1,1,0
357,Slasher,2016,18+,67,1,0,0,0
358,Ray,2021,,67,1,0,0,0
359,Time: The Kalief Browder Story,2017,16+,67,1,0,0,0
360,Away,2020,16+,67,1,0,0,0
361,No Tomorrow,2016,7+,67,1,0,0,0
362,Locked Up,2015,18+,67,1,0,0,0
363,The Frankenstein Chronicles,2015,16+,67,1,0,0,0
364,The Ranch,2016,16+,67,1,0,0,0
365,Cursed,2020,18+,67,1,0,0,0
366,Wu Assassins,2019,18+,67,1,0,0,0
367,Mr. Sunshine,2018,18+,67,1,0,0,0
