Unnamed: 0,Streaming Service,Date,Subscription Price
387,Paramount+,2018-02-01,9.99
388,Paramount+,2018-03-01,9.99
389,Paramount+,2018-04-01,9.99
390,Paramount+,2018-05-01,9.99
391,Paramount+,2018-06-01,9.99
392,Paramount+,2018-07-01,9.99
393,Paramount+,2018-08-01,9.99
394,Paramount+,2018-09-01,9.99
395,Paramount+,2018-10-01,9.99
396,Paramount+,2018-11-01,9.99
397,Paramount+,2018-12-01,9.99
398,Paramount+,2019-01-01,9.99
399,Paramount+,2019-02-01,9.99
400,Paramount+,2019-03-01,9.99
401,Paramount+,2019-04-01,9.99
402,Paramount+,2019-05-01,9.99
403,Paramount+,2019-06-01,9.99
404,Paramount+,2019-07-01,9.99
405,Paramount+,2019-08-01,9.99
406,Paramount+,2019-09-01,9.99
407,Paramount+,2019-10-01,9.99
408,Paramount+,2019-11-01,9.99
409,Paramount+,2019-12-01,9.99
410,Paramount+,2020-01-01,9.99
411,Paramount+,2020-02-01,9.99
412,Paramount+,2020-03-01,9.99
413,Paramount+,2020-04-01,9.99
414,Paramount+,2020-05-01,9.99
415,Paramount+,2020-06-01,9.99
416,Paramount+,2020-07-01,9.99
417,Paramount+,2020-08-01,9.99
418,Paramount+,2020-09-01,9.99
419,Paramount+,2020-10-01,9.99
420,Paramount+,2020-11-01,9.99
421,Paramount+,2020-12-01,9.99
422,Paramount+,2021-01-01,9.99
423,Paramount+,2021-02-01,9.99
424,Paramount+,2021-03-01,9.99
425,Paramount+,2021-04-01,9.99
426,Paramount+,2021-05-01,9.99
427,Paramount+,2021-06-01,9.99
428,Paramount+,2021-07-01,9.99
429,Paramount+,2021-08-01,9.99
430,Paramount+,2021-09-01,9.99
431,Paramount+,2021-10-01,9.99
432,Paramount+,2021-11-01,9.99
433,Paramount+,2021-12-01,9.99
434,Paramount+,2022-01-01,9.99
435,Paramount+,2022-02-01,9.99
436,Paramount+,2022-03-01,9.99
437,Paramount+,2022-04-01,9.99
438,Paramount+,2022-05-01,9.99
439,Paramount+,2022-06-01,9.99
440,Paramount+,2022-07-01,9.99
441,Paramount+,2022-08-01,9.99
442,Paramount+,2022-09-01,9.99
443,Paramount+,2022-10-01,9.99
444,Paramount+,2022-11-01,9.99
445,Paramount+,2022-12-01,9.99
446,Paramount+,2023-01-01,9.99
447,Paramount+,2023-02-01,9.99
448,Paramount+,2023-03-01,9.99
449,Paramount+,2023-04-01,9.99
450,Paramount+,2023-05-01,9.99
451,Paramount+,2023-06-01,11.99
452,Paramount+,2023-07-01,11.99
453,Paramount+,2023-08-01,11.99
454,Paramount+,2023-09-01,11.99
455,Paramount+,2023-10-01,11.99
456,Paramount+,2023-11-01,11.99
457,Paramount+,2023-12-01,11.99
458,Paramount+,2024-01-01,11.99
459,Prime Video,2016-04-01,8.99
460,Prime Video,2016-05-01,8.99
461,Prime Video,2016-06-01,8.99
462,Prime Video,2016-07-01,8.99
463,Prime Video,2016-08-01,8.99
464,Prime Video,2016-09-01,8.99
465,Prime Video,2016-10-01,8.99
466,Prime Video,2016-11-01,8.99
467,Prime Video,2016-12-01,8.99
468,Prime Video,2017-01-01,8.99
469,Prime Video,2017-02-01,8.99
470,Prime Video,2017-03-01,8.99
471,Prime Video,2017-04-01,8.99
472,Prime Video,2017-05-01,8.99
473,Prime Video,2017-06-01,8.99
474,Prime Video,2017-07-01,8.99
475,Prime Video,2017-08-01,8.99
476,Prime Video,2017-09-01,8.99
477,Prime Video,2017-10-01,8.99
478,Prime Video,2017-11-01,8.99
